Female_genotype,Species,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,Species,SPAD2_Date,Leaf_Auringle,ST,StPu,StPi,Kinki,Prolif,NBR,LI_COR,LI_COR_Date,SCiO,SCiO_Date
Bals-JSG-RMM-LCL-546_P3_P1_P1_P1.1.1.1,Bals,7/3/23,7/1/23,235,112,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,7/3/23,6/30/23,187,70,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-568_P3_P1_P3_P1.2.1.1,Bals,7/3/23,7/2/23,177,82,7,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Bals-JLNCM-643_P3_P1_P1_P1.2.1.1,Bals,7/1/23,6/30/23,175,47,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-LCL-704_P3_P1_P5_P1.1.1.1,Bals,7/2/23,6/30/23,183,50,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
B73,B73,7/3/23,7/2/23,175,52,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Hueh-H2_P4_P1_P3_P3.2.1.1,Hueh,7/1/23,6/27/23,180,72,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P2_P2.2.1.1,Nabo,6/28/23,6/25/23,155,50,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-517_P2_P1_P1_P2.1.1.1,Bals,7/5/23,7/1/23,190,70,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-514_P1_P1_P1_P1.1.1.1,Bals,6/28/23,6/27/23,167,57,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P1_P3.1.1.1,Dura,7/1/23,6/29/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Zdip-CIM10003_P2_P1_P5_P2.4.1.1,Zdip,6/28/23,6/28/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P1_P4.1.1.1,Nabo,6/27/23,6/27/23,172,41,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Bals-DMA-2008-1_P3_P1_P2_P1.1.1.1,Bals,7/1/23,6/29/23,181,60,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P3_P1_P1_P1.1.1.1,Zdip,7/4/23,7/1/23,185,90,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P3_P3.1.1.1,Dura,7/2/23,7/1/23,165,72,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P1_P1.1.1.1,Dura,7/1/23,6/27/23,187,78,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P4_P3.3.1.1,Zdip,7/2/23,6/29/23,177,65,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P3_P1.3.1.1,Nabo,6/29/23,6/27/23,221,82,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-495_P4_P1_P1_P1.1.1.1,Bals,6/29/23,6/28/23,195,69,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P3_P4.1.1.1,Dura,6/29/23,6/28/23,184,74,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-Y-RMM-444_P2_P1_P1_P1.2.1.1,Mesa,6/30/23,6/30/23,190,52,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P3_P2.1.1.1,Zdip,7/5/23,7/4/23,164,70,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-631_P2_P1_P1_P2.2.1.1,Chal,7/2/23,6/30/23,213,75,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P5_P4.2.1.1,Zdip,6/29/23,6/29/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P4_P5.1.1.1,Zdip,7/1/23,6/28/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Hueh-H1_P3_P1_P2_P2.1.1.1,Hueh,7/2/23,7/2/23,205,83,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P4_P2.3.1.1,Zdip,7/1/23,6/28/23,145,54,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-JSG-LCL-704_P2_P1_P2_P1.2.1.1,Bals,6/27/23,6/27/23,158,63,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,7/1/23,6/28/23,197,66,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-JSG-Y-RMM-458_P1_P1_P2_P1.2.1.1,Bals,7/10/23,7/8/23,216,85,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P5_P3.2.1.1,Dura,7/1/23,7/2/23,220,56,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
